,ws_users_activated,ws_users_deactivated,ws_users_invited,action_create_project,action_export_report,action_api_and_webhooks,action_time_entries_via_tracker,action_start_trial,action_import_csv,action_create_invoice,action_lock_entries,action_add_targets,action_connect_quickbooks,action_create_expense,action_project_budget,action_screenshots,country,value_days_to_purchase,value_number_of_active_months,value_transactions_number,value_regular_seats,value_kiosk_seats,revenue,churned_status
0,3,2,0,5,8,0,0,0,0,0,0,0,0,0,0,0.0,Canada,2,0,6,3,0,184.925,No
2,2,0,0,3,3,0,0,0,0,0,10,2,1,0,9,1.0,Florida,98,3,12,3,0,395.122,No
3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Kentucky,0,1,2,1,0,25.974,Yes
7,3,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1.0,South Africa,53,1,12,3,0,406.068,No
8,1,0,0,5,8,0,0,0,0,6,0,0,0,0,0,0.0,Latvia,1,2,2,1,0,25.974,No
9,3,0,0,50,0,0,23,0,0,2,0,1,0,0,18,2.0,Connecticut,0,5,5,3,0,194.805,No
10,1,0,0,1,14,0,0,0,0,18,0,0,0,3,8,0.0,Kyrgyzstan,0,6,5,1,0,64.935,No
13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Maryland,15,12,11,1,0,142.857,No
16,1,0,0,3,15,0,0,0,0,0,0,0,0,0,0,0.0,Slovakia,108,6,2,1,0,25.974,No
17,3,0,0,8,5,1,0,1,0,0,5,0,0,0,0,1.0,Indonesia,7,5,5,4,0,222.157,No
18,1,0,0,1,1,0,0,0,0,22,0,0,0,0,5,0.0,Philippines,153,9,6,1,0,49.062,Yes
21,1,0,0,25,0,0,0,0,0,0,0,0,0,7,0,0.0,Illinois,197,11,4,1,0,51.948,No
23,1,0,0,4,20,0,0,0,0,0,0,0,0,0,0,0.0,France,14,11,10,1,0,129.87,No
24,1,0,0,1,0,0,0,0,0,6,0,0,0,0,6,0.0,Israel,0,0,1,1,0,12.987,Yes
27,1,0,0,1,2,0,0,1,0,7,0,0,0,0,0,2.0,Ukraine,9,4,3,1,0,38.961,No
28,3,0,0,30,11,0,0,0,0,0,0,0,0,0,52,2.0,United Kingdom,0,0,1,3,0,38.961,Yes
29,5,2,0,3,38,0,43,1,0,11,3,0,0,0,0,1.0,Belarus,285,11,11,5,0,354.393,No
30,1,0,0,6,1,1,0,0,0,3,0,0,0,0,0,0.0,Netherlands,1,10,11,1,0,142.857,No
33,11,0,0,41,1,0,0,0,0,0,0,1,0,0,73,0.0,Chile,52,2,2,11,0,285.714,Yes
34,1,1,0,17,0,0,0,0,0,0,0,0,0,0,0,0.0,New Zealand,0,3,3,1,0,38.961,No
35,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0.0,Switzerland,0,4,4,1,0,51.948,No
36,3,0,0,6,0,0,1,0,0,14,0,0,0,0,10,0.0,Connecticut,0,1,1,3,0,38.961,No
37,3,2,0,2,0,0,6,0,0,0,0,0,0,12,0,0.0,Singapore,13,8,8,3,0,311.688,No
38,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0.0,Virginia,0,1,2,1,0,25.974,Yes
39,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.0,Germany,0,0,1,1,0,12.987,Yes
40,1,0,0,1,0,0,0,0,0,0,0,0,1,3,0,0.0,Ohio,13,10,8,1,0,103.896,No
41,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1.0,New Jersey,7,4,5,1,0,64.935,Yes
42,11,0,0,18,0,0,0,1,0,0,0,0,0,0,0,1.0,Seychelles,32,1,4,11,0,427.843,No
43,0,0,0,2,0,0,0,0,0,4,2,0,0,2,0,1.0,Canada,0,3,4,1,0,51.948,Yes
44,1,0,0,0,2,0,0,0,0,0,0,0,0,0,9,2.0,Puerto Rico,0,1,1,1,0,12.987,No
46,5,0,0,20,2,0,0,0,0,3,0,0,0,0,5,0.0,Indonesia,5,2,2,5,0,129.87,No
47,1,3,0,3,0,0,0,0,0,0,0,0,0,0,0,1.0,Philippines,0,8,5,2,0,114.777,Yes
48,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2.0,Arizona,209,10,4,1,0,51.948,Yes
49,2,0,0,13,15,0,0,0,0,0,0,0,0,0,0,1.0,North Carolina,10,0,4,2,0,77.922,No
50,1,0,0,1,2,0,0,0,0,0,0,1,0,0,3,2.0,Ukraine,135,11,2,1,0,25.974,Yes
51,6,0,0,1,40,0,6,0,0,13,0,0,0,0,1,1.0,Arizona,126,4,3,6,0,556.998,Yes
52,11,4,0,9,40,1,0,0,0,0,0,0,0,0,0,1.0,Florida,69,2,4,11,0,516.88,No
53,1,0,0,2,0,0,0,0,0,6,0,0,0,0,0,0.0,Texas,0,1,2,1,0,25.974,Yes
55,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,Puerto Rico,0,5,5,1,0,64.935,No
56,6,0,0,15,4,1,0,0,0,1,0,0,0,0,18,1.0,South Africa,156,11,6,6,0,467.532,No
57,1,0,0,11,0,1,0,0,0,0,0,0,0,0,8,0.0,Texas,151,7,8,1,0,73.099,No
59,1,0,0,11,0,1,0,0,0,0,0,0,0,0,19,0.0,Brazil,0,0,2,1,0,12.987,Yes
60,1,0,0,9,0,0,0,1,0,2,0,0,0,1,0,0.0,Belgium,9,1,1,1,0,12.987,No
61,2,0,0,1,6,0,4,0,0,0,0,0,0,7,0,0.0,California,226,9,14,2,0,190.125,No
65,1,0,0,7,4,0,0,1,0,2,2,2,0,0,10,1.0,Canada,7,8,8,1,0,144.898,No
66,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,California,0,0,2,1,0,12.987,Yes
67,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0.0,Pennsylvania,215,8,2,1,0,25.974,Yes
68,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,Canada,0,0,1,2,0,25.974,No
70,3,0,0,1,20,0,10,0,0,0,0,0,0,0,0,1.0,California,273,9,11,3,0,346.086,No
73,1,0,0,9,6,0,0,0,0,0,0,0,0,0,8,0.0,Mexico,43,1,1,1,0,12.987,Yes
74,4,0,0,14,2,0,3,0,0,3,0,0,0,0,0,1.0,Florida,2,1,2,4,0,77.922,No
75,1,0,0,2,0,0,1,0,0,2,0,0,1,0,3,0.0,South Africa,11,3,3,1,0,38.961,No
76,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,France,0,1,2,1,0,25.974,Yes
79,1,0,0,1,0,0,0,0,0,2,0,0,0,3,0,1.0,Canada,1,0,1,1,0,12.987,Yes
80,1,0,0,4,0,0,0,0,0,0,0,2,0,0,2,0.0,California,0,1,2,1,0,25.974,Yes
81,9,0,0,7,0,0,0,0,0,0,0,0,0,0,5,0.0,Germany,204,7,8,9,0,417.43,No
83,1,0,1,67,66,1,0,0,0,0,0,0,0,0,0,0.0,United Kingdom,77,3,15,2,0,265.629,No
90,1,0,0,35,42,0,25,0,0,22,0,0,0,0,0,2.0,Alabama,36,2,13,1,0,165.269,No
94,2,0,0,75,90,0,60,0,0,2,0,0,0,1,0,1.0,Belgium,1,0,15,2,0,229.84,No
104,1,1,0,7,11,0,0,0,0,0,0,0,0,0,0,0.0,Germany,109,3,8,1,0,107.341,Yes
107,1,0,0,4,2,0,0,0,0,0,0,0,0,0,4,0.0,Illinois,0,8,9,1,0,116.883,Yes
116,2,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0.0,United Kingdom,2,5,6,2,0,155.844,Yes
117,2,0,0,2,2,0,0,1,0,5,0,0,0,0,6,2.0,Germany,113,12,13,2,0,253.448,No
120,1,0,0,4,0,0,0,0,0,21,0,0,0,8,4,0.0,Washington,16,6,7,1,0,90.909,Yes
124,2,0,0,31,15,0,0,0,0,0,0,0,0,55,0,0.0,Canada,0,6,7,2,0,181.818,Yes
131,2,3,0,34,76,0,4,0,0,8,0,1,0,0,16,0.0,Australia,278,9,14,2,0,984.035,No
134,1,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0.0,Finland,0,7,8,1,0,103.896,Yes
139,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0.0,New Jersey,273,9,12,2,0,193.102,No
142,2,0,0,29,34,0,0,0,0,0,0,0,0,0,0,2.0,Australia,9,8,9,2,0,233.766,Yes
144,1,2,0,109,0,0,7,0,0,0,0,0,0,0,59,0.0,Suriname,152,5,11,1,0,131.469,Yes
148,1,0,0,5,0,0,0,0,0,1,0,0,0,0,0,1.0,Canada,59,9,8,1,0,103.896,Yes
159,8,5,0,7,38,2,0,0,0,1,0,2,1,35,0,0.0,Canada,258,8,12,8,0,511.94,Yes
162,2,0,0,4,11,0,1,1,0,16,0,0,0,0,3,1.0,Canada,16,2,7,1,0,77.064,Yes
168,1,0,0,22,1,0,0,0,0,51,0,0,0,0,0,0.0,Florida,268,9,8,1,0,76.596,Yes
172,5,3,0,124,2,0,0,1,0,3,0,0,0,0,17,2.0,Argentina,120,4,11,6,0,727.909,No
178,7,1,0,27,19,0,0,0,1,0,0,0,0,0,0,0.0,Lithuania,51,2,7,7,0,530.218,Yes
187,6,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0.0,Australia,215,7,14,6,0,784.381,No
194,3,1,0,50,0,0,0,1,0,0,0,0,0,29,8,1.0,South Africa,232,9,11,3,0,346.814,Yes
198,4,0,0,4,10,0,0,0,0,0,0,0,0,0,4,0.0,Germany,30,1,10,4,0,368.654,Yes
202,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0.0,Armenia,135,5,13,3,0,419.185,No
206,14,1,1,4,4,0,0,0,0,0,0,0,0,0,0,0.0,Canada,2,0,11,16,0,1026.753,Yes
218,6,0,0,1,1,0,33,0,0,0,0,0,0,0,0,0.0,Australia,181,8,11,6,0,520.195,No
220,4,1,0,0,0,0,25,0,0,1,0,0,0,0,0,0.0,Costa Rica,229,11,15,4,0,617.695,No
223,1,0,0,17,3,0,0,0,0,0,0,0,0,0,3,1.0,Brazil,194,9,3,1,0,38.961,Yes
226,1,2,0,0,0,0,0,0,0,16,0,0,0,10,0,0.0,Alabama,16,1,9,1,0,163.787,Yes
228,8,0,0,17,0,2,0,0,0,0,0,0,0,0,0,0.0,Massachusetts,49,7,16,8,0,1112.644,No
229,1,0,0,15,0,0,0,0,0,0,0,0,0,0,22,0.0,Canada,140,6,2,1,0,25.974,Yes
233,1,0,0,4,7,0,0,1,0,18,0,0,0,35,0,2.0,Illinois,26,8,6,1,0,77.922,Yes
235,2,0,0,42,57,0,0,0,0,1,2,0,0,0,6,0.0,South Africa,134,5,8,2,0,218.27,Yes
239,2,1,1,3,16,0,0,1,0,0,0,0,0,0,0,1.0,Jamaica,2,5,6,4,0,311.688,Yes
242,6,0,0,20,11,0,0,0,0,0,0,0,0,0,0,0.0,Delaware,22,5,6,6,0,467.532,Yes
243,1,0,0,0,0,0,0,1,0,44,0,0,0,0,0,1.0,Connecticut,0,12,12,1,0,155.844,No
248,7,0,1,24,2,0,11,1,0,0,0,0,0,0,0,2.0,Georgia,55,12,10,8,0,1038.96,No
249,5,0,0,8,48,0,0,0,0,0,0,1,0,0,0,1.0,California,39,1,12,5,0,390.988,Yes
252,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,Canada,20,4,5,5,0,324.675,Yes
253,1,1,0,15,0,0,0,0,0,0,0,2,0,0,0,0.0,Ireland,0,0,6,1,0,88.959,Yes
256,6,0,0,20,25,0,0,0,0,0,0,0,0,18,34,0.0,Florida,273,9,15,7,0,829.166,No
258,1,0,0,2,14,0,0,0,0,0,0,0,0,0,0,2.0,Oregon,4,11,12,1,0,155.844,No
259,1,0,0,41,9,0,0,0,0,0,0,0,0,0,9,2.0,Switzerland,26,12,10,1,0,129.87,Yes
264,6,1,0,109,119,0,39,0,0,9,0,0,0,0,0,2.0,Austria,0,0,15,6,0,822.991,No
267,3,2,0,23,100,1,0,0,0,0,4,1,0,0,3,1.0,Brazil,36,1,13,4,0,557.167,No
268,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Virginia,60,10,9,1,0,116.883,Yes
269,9,2,0,75,52,0,0,0,0,0,0,0,0,0,2,0.0,Kentucky,223,7,15,9,0,610.727,No
271,3,0,0,4,0,0,0,0,0,0,1,0,0,0,10,0.0,California,11,4,6,3,0,139.425,Yes
273,3,0,0,96,97,0,0,1,1,0,0,0,0,0,35,0.0,Australia,46,12,13,3,0,465.257,No
275,6,0,0,11,13,0,0,0,0,0,3,0,0,0,0,2.0,Brazil,178,12,6,6,0,467.532,No
276,1,0,0,17,0,0,0,0,0,0,0,0,0,0,0,1.0,Florida,29,5,5,1,0,64.935,Yes
277,5,2,1,28,17,1,0,0,0,1,2,0,0,0,9,1.0,China,128,4,9,6,0,166.946,Yes
278,1,0,0,20,27,0,0,1,0,0,0,0,0,0,7,0.0,South Africa,100,12,10,1,0,114.725,No
279,3,1,0,2,118,0,43,0,0,0,0,0,0,0,1,0.0,Australia,181,12,13,4,0,469.547,No
280,1,0,0,0,0,0,0,0,0,10,0,0,0,15,0,0.0,Arizona,0,12,12,1,0,155.844,No
281,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,Colorado,48,9,9,1,0,116.883,Yes
282,1,0,0,5,1,0,0,0,0,21,0,0,0,0,0,0.0,Australia,84,3,11,1,0,108.693,Yes
283,5,0,0,101,79,0,113,0,0,2,0,0,0,2,0,2.0,United Kingdom,43,1,15,5,0,680.511,No
284,4,0,1,8,0,0,0,0,0,0,7,0,0,0,12,1.0,Alaska,11,0,8,5,0,470.08,Yes
285,4,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1.0,Argentina,6,0,15,4,0,547.508,No
287,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.0,California,8,5,6,1,0,77.922,Yes
289,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Australia,28,6,6,4,0,311.688,Yes
291,1,0,0,8,0,0,0,0,0,10,0,0,0,12,3,0.0,Georgia,200,12,5,1,0,64.935,No
292,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Canada,124,12,3,1,0,38.961,No
295,1,0,0,25,6,0,0,0,0,0,0,0,0,0,6,1.0,New Zealand,16,5,5,1,0,64.935,Yes
299,1,0,0,6,4,0,0,0,0,4,0,0,0,27,1,1.0,Texas,8,9,10,1,0,129.87,Yes
300,1,0,0,89,0,0,0,0,0,3,0,0,0,0,49,0.0,Oregon,0,0,15,1,0,183.222,Yes
301,1,0,0,7,0,0,0,0,0,2,0,0,0,0,9,2.0,Florida,48,7,6,1,0,77.922,Yes
302,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0.0,Australia,196,11,5,1,0,64.935,No
303,1,0,0,2,0,0,0,0,0,7,0,0,0,0,0,0.0,Australia,63,2,4,1,0,38.337,Yes
307,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0,Austria,176,6,1,1,0,12.987,Yes
308,1,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0.0,Louisiana,45,8,11,1,0,119.028,Yes
311,3,2,0,49,57,0,0,1,0,0,0,0,0,0,0,2.0,Brazil,15,10,12,3,0,440.7,Yes
312,0,0,0,9,4,0,0,0,0,0,0,0,0,0,0,1.0,Philippines,31,3,9,4,0,318.825,Yes
320,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.0,Arizona,13,8,8,2,0,207.792,Yes
321,1,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0.0,Connecticut,262,9,1,1,0,12.987,Yes
323,1,0,0,6,0,1,0,0,0,0,0,0,0,0,0,1.0,California,188,9,4,1,0,51.948,Yes
324,1,0,0,58,122,0,0,1,0,0,0,0,0,0,2,1.0,New Zealand,16,12,11,1,0,142.857,No
325,1,0,0,5,10,1,0,0,0,3,10,0,0,0,70,2.0,United Kingdom,29,1,7,1,0,77.922,Yes
326,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0.0,Brazil,166,6,1,1,0,12.987,Yes
327,2,0,0,23,13,0,0,0,0,35,0,1,1,0,27,0.0,South Africa,49,8,11,2,0,159.653,Yes
329,4,0,0,5,0,0,0,0,0,4,8,2,1,0,20,0.0,Maryland,1,0,12,4,0,563.732,No
330,1,0,0,34,64,0,0,0,0,0,0,0,0,40,58,0.0,District of Columbia,147,5,11,1,0,454.61,Yes
