,ws_users_activated,ws_users_deactivated,ws_users_invited,action_create_project,action_export_report,action_api_and_webhooks,action_time_entries_via_tracker,action_start_trial,action_import_csv,action_create_invoice,action_lock_entries,action_add_targets,action_connect_quickbooks,action_create_expense,action_project_budget,country,value_days_to_purchase,value_number_of_active_months,value_transactions_number,value_regular_seats,value_kiosk_seats,revenue,churned_status
0,3,2,0,5,8,0,0,0,0,0,0,0,0,0,0,Canada,2,0,6,3,0,184.925,No
1,6,1,0,35,106,0,33,0,1,0,5,8,0,0,3,United Kingdom,37,9,9,6,0,608.842,No
2,2,0,0,3,3,0,0,0,0,0,10,2,1,0,9,Florida,98,3,12,3,0,395.122,No
3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kentucky,0,1,2,1,0,25.974,Yes
4,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,Ireland,21,2,3,1,0,38.961,Yes
5,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,Philippines,32,14,14,1,0,168.116,No
6,9,0,0,0,58,0,0,0,0,1,1,0,0,0,0,Albania,245,11,13,9,0,912.119,No
7,3,0,0,3,0,1,0,0,0,0,0,0,0,0,0,South Africa,53,1,12,3,0,406.068,No
8,1,0,0,5,8,0,0,0,0,6,0,0,0,0,0,Latvia,1,2,2,1,0,25.974,No
9,3,0,0,50,0,0,23,0,0,2,0,1,0,0,18,Connecticut,0,5,5,3,0,194.805,No
10,1,0,0,1,14,0,0,0,0,18,0,0,0,3,8,Kyrgyzstan,0,6,5,1,0,64.935,No
11,1,0,0,18,4,0,0,0,0,0,0,0,0,106,6,United Kingdom,213,13,6,1,0,77.922,No
12,1,0,0,1,8,0,0,0,0,0,0,0,0,0,0,California,377,12,0,1,0,0.0,No
13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Maryland,15,12,11,1,0,142.857,No
16,1,0,0,3,15,0,0,0,0,0,0,0,0,0,0,Slovakia,108,6,2,1,0,25.974,No
17,3,0,0,8,5,1,0,1,0,0,5,0,0,0,0,Indonesia,7,5,5,4,0,222.157,No
18,1,0,0,1,1,0,0,0,0,22,0,0,0,0,5,Philippines,153,9,6,1,0,49.062,Yes
19,15,4,0,33,20,0,0,0,0,0,0,0,0,0,226,Florida,1,3,7,18,0,1584.453,No
